max_depth	min_split	cp	minbucket	ganancia_promedio
4	1000	-1.5	800	48308000
4	1000	-1	800	48308000
4	1000	-0.5	800	48308000
4	1000	0	800	0
4	1000	0.5	800	0
4	1000	1	800	0
4	1000	1.5	800	0
4	1000	2	800	0
4	1000	-1.5	750	48508000
4	1000	-1	750	48508000
4	1000	-0.5	750	48508000
4	1000	0	750	0
4	1000	0.5	750	0
4	1000	1	750	0
4	1000	1.5	750	0
4	1000	2	750	0
4	1000	-1.5	500	49052000
4	1000	-1	500	49052000
4	1000	-0.5	500	49052000
4	1000	0	500	0
4	1000	0.5	500	0
4	1000	1	500	0
4	1000	1.5	500	0
4	1000	2	500	0
4	1000	-1.5	250	46750000
4	1000	-1	250	46750000
4	1000	-0.5	250	46750000
4	1000	0	250	0
4	1000	0.5	250	0
4	1000	1	250	0
4	1000	1.5	250	0
4	1000	2	250	0
4	1000	-1.5	200	46558000
4	1000	-1	200	46558000
4	1000	-0.5	200	46558000
4	1000	0	200	0
4	1000	0.5	200	0
4	1000	1	200	0
4	1000	1.5	200	0
4	1000	2	200	0
4	800	-1.5	640	48652000
4	800	-1	640	48652000
4	800	-0.5	640	48652000
4	800	0	640	0
4	800	0.5	640	0
4	800	1	640	0
4	800	1.5	640	0
4	800	2	640	0
4	800	-1.5	600	48896000
4	800	-1	600	48896000
4	800	-0.5	600	48896000
4	800	0	600	0
4	800	0.5	600	0
4	800	1	600	0
4	800	1.5	600	0
4	800	2	600	0
4	800	-1.5	400	46712000
4	800	-1	400	46712000
4	800	-0.5	400	46712000
4	800	0	400	0
4	800	0.5	400	0
4	800	1	400	0
4	800	1.5	400	0
4	800	2	400	0
4	800	-1.5	200	46558000
4	800	-1	200	46558000
4	800	-0.5	200	46558000
4	800	0	200	0
4	800	0.5	200	0
4	800	1	200	0
4	800	1.5	200	0
4	800	2	200	0
4	800	-1.5	160	46942000
4	800	-1	160	46942000
4	800	-0.5	160	46942000
4	800	0	160	0
4	800	0.5	160	0
4	800	1	160	0
4	800	1.5	160	0
4	800	2	160	0
4	600	-1.5	480	49052000
4	600	-1	480	49052000
4	600	-0.5	480	49052000
4	600	0	480	0
4	600	0.5	480	0
4	600	1	480	0
4	600	1.5	480	0
4	600	2	480	0
4	600	-1.5	450	49052000
4	600	-1	450	49052000
4	600	-0.5	450	49052000
4	600	0	450	0
4	600	0.5	450	0
4	600	1	450	0
4	600	1.5	450	0
4	600	2	450	0
4	600	-1.5	300	46452000
4	600	-1	300	46452000
4	600	-0.5	300	46452000
4	600	0	300	0
4	600	0.5	300	0
4	600	1	300	0
4	600	1.5	300	0
4	600	2	300	0
4	600	-1.5	150	46736000
4	600	-1	150	46736000
4	600	-0.5	150	46736000
4	600	0	150	0
4	600	0.5	150	0
4	600	1	150	0
4	600	1.5	150	0
4	600	2	150	0
4	600	-1.5	120	48486000
4	600	-1	120	48486000
4	600	-0.5	120	48486000
