max_depth	min_split	cp	minbucket	ganancia_promedio
6	350	-1	35	47736000
6	350	-1	70	48676000
6	350	-1	105	49534000
6	350	-1	140	49326000
6	350	-1	175	50340000
6	350	-1	210	50194000
6	350	-1	245	49202000
6	350	-1	280	49200000
6	350	-1	315	49330000
6	370	-1	37	47508000
6	370	-1	74	48790000
6	370	-1	111	49686000
6	370	-1	148	49078000
6	370	-1	185	50320000
6	370	-1	222	50438000
6	370	-1	259	49420000
6	370	-1	296	49270000
6	370	-1	333	49258000
6	390	-1	39	47500000
6	390	-1	78	48692000
6	390	-1	117	49722000
6	390	-1	156	49236000
6	390	-1	195	50340000
6	390	-1	234	49810000
6	390	-1	273	49232000
6	390	-1	312	49330000
6	390	-1	351	49408000
