"","max_depth","min_split","cp","minbucket","ganancia_promedio"
"1",4,1000,-1.5,800,48308000
"2",4,1000,-1,800,48308000
"3",4,1000,-0.5,800,48308000
"4",4,1000,0,800,0
"5",4,1000,0.5,800,0
"6",4,1000,1,800,0
"7",4,1000,1.5,800,0
"8",4,1000,2,800,0
"9",4,1000,-1.5,750,48508000
"10",4,1000,-1,750,48508000
"11",4,1000,-0.5,750,48508000
"12",4,1000,0,750,0
"13",4,1000,0.5,750,0
"14",4,1000,1,750,0
"15",4,1000,1.5,750,0
"16",4,1000,2,750,0
"17",4,1000,-1.5,500,49052000
"18",4,1000,-1,500,49052000
"19",4,1000,-0.5,500,49052000
"20",4,1000,0,500,0
"21",4,1000,0.5,500,0
"22",4,1000,1,500,0
"23",4,1000,1.5,500,0
"24",4,1000,2,500,0
"25",4,1000,-1.5,250,46750000
"26",4,1000,-1,250,46750000
"27",4,1000,-0.5,250,46750000
"28",4,1000,0,250,0
"29",4,1000,0.5,250,0
"30",4,1000,1,250,0
"31",4,1000,1.5,250,0
"32",4,1000,2,250,0
"33",4,1000,-1.5,200,46558000
"34",4,1000,-1,200,46558000
"35",4,1000,-0.5,200,46558000
"36",4,1000,0,200,0
"37",4,1000,0.5,200,0
"38",4,1000,1,200,0
"39",4,1000,1.5,200,0
"40",4,1000,2,200,0
"41",4,800,-1.5,640,48652000
"42",4,800,-1,640,48652000
"43",4,800,-0.5,640,48652000
"44",4,800,0,640,0
"45",4,800,0.5,640,0
"46",4,800,1,640,0
"47",4,800,1.5,640,0
"48",4,800,2,640,0
"49",4,800,-1.5,600,48896000
"50",4,800,-1,600,48896000
"51",4,800,-0.5,600,48896000
"52",4,800,0,600,0
"53",4,800,0.5,600,0
"54",4,800,1,600,0
"55",4,800,1.5,600,0
"56",4,800,2,600,0
"57",4,800,-1.5,400,46712000
"58",4,800,-1,400,46712000
"59",4,800,-0.5,400,46712000
"60",4,800,0,400,0
"61",4,800,0.5,400,0
"62",4,800,1,400,0
"63",4,800,1.5,400,0
"64",4,800,2,400,0
"65",4,800,-1.5,200,46558000
"66",4,800,-1,200,46558000
"67",4,800,-0.5,200,46558000
"68",4,800,0,200,0
"69",4,800,0.5,200,0
"70",4,800,1,200,0
"71",4,800,1.5,200,0
"72",4,800,2,200,0
"73",4,800,-1.5,160,46942000
"74",4,800,-1,160,46942000
"75",4,800,-0.5,160,46942000
"76",4,800,0,160,0
"77",4,800,0.5,160,0
"78",4,800,1,160,0
"79",4,800,1.5,160,0
"80",4,800,2,160,0
"81",4,600,-1.5,480,49052000
"82",4,600,-1,480,49052000
"83",4,600,-0.5,480,49052000
"84",4,600,0,480,0
"85",4,600,0.5,480,0
"86",4,600,1,480,0
"87",4,600,1.5,480,0
"88",4,600,2,480,0
"89",4,600,-1.5,450,49052000
"90",4,600,-1,450,49052000
"91",4,600,-0.5,450,49052000
"92",4,600,0,450,0
"93",4,600,0.5,450,0
"94",4,600,1,450,0
"95",4,600,1.5,450,0
"96",4,600,2,450,0
"97",4,600,-1.5,300,46452000
"98",4,600,-1,300,46452000
"99",4,600,-0.5,300,46452000
"100",4,600,0,300,0
"101",4,600,0.5,300,0
"102",4,600,1,300,0
"103",4,600,1.5,300,0
"104",4,600,2,300,0
"105",4,600,-1.5,150,46736000
"106",4,600,-1,150,46736000
"107",4,600,-0.5,150,46736000
"108",4,600,0,150,0
"109",4,600,0.5,150,0
"110",4,600,1,150,0
"111",4,600,1.5,150,0
"112",4,600,2,150,0
"113",4,600,-1.5,120,48486000
"114",4,600,-1,120,48486000
"115",4,600,-0.5,120,48486000
"116",4,600,0,120,0
"117",4,600,0.5,120,0
"118",4,600,1,120,0
"119",4,600,1.5,120,0
"120",4,600,2,120,0
"121",4,400,-1.5,320,46438000
"122",4,400,-1,320,46438000
"123",4,400,-0.5,320,46438000
"124",4,400,0,320,0
"125",4,400,0.5,320,0
"126",4,400,1,320,0
"127",4,400,1.5,320,0
"128",4,400,2,320,0
"129",4,400,-1.5,300,46452000
"130",4,400,-1,300,46452000
"131",4,400,-0.5,300,46452000
"132",4,400,0,300,0
"133",4,400,0.5,300,0
"134",4,400,1,300,0
"135",4,400,1.5,300,0
"136",4,400,2,300,0
"137",4,400,-1.5,200,46264000
"138",4,400,-1,200,46264000
"139",4,400,-0.5,200,46264000
"140",4,400,0,200,0
"141",4,400,0.5,200,0
"142",4,400,1,200,0
"143",4,400,1.5,200,0
"144",4,400,2,200,0
"145",4,400,-1.5,100,47862000
"146",4,400,-1,100,47862000
"147",4,400,-0.5,100,47862000
"148",4,400,0,100,0
"149",4,400,0.5,100,0
"150",4,400,1,100,0
"151",4,400,1.5,100,0
"152",4,400,2,100,0
"153",4,400,-1.5,80,47270000
"154",4,400,-1,80,47270000
"155",4,400,-0.5,80,47270000
"156",4,400,0,80,0
"157",4,400,0.5,80,0
"158",4,400,1,80,0
"159",4,400,1.5,80,0
"160",4,400,2,80,0
"161",4,200,-1.5,160,46148000
"162",4,200,-1,160,46148000
"163",4,200,-0.5,160,46148000
"164",4,200,0,160,0
"165",4,200,0.5,160,0
"166",4,200,1,160,0
"167",4,200,1.5,160,0
"168",4,200,2,160,0
"169",4,200,-1.5,150,46736000
"170",4,200,-1,150,46736000
"171",4,200,-0.5,150,46736000
"172",4,200,0,150,0
"173",4,200,0.5,150,0
"174",4,200,1,150,0
"175",4,200,1.5,150,0
"176",4,200,2,150,0
"177",4,200,-1.5,100,47862000
"178",4,200,-1,100,47862000
"179",4,200,-0.5,100,47862000
"180",4,200,0,100,0
"181",4,200,0.5,100,0
"182",4,200,1,100,0
"183",4,200,1.5,100,0
"184",4,200,2,100,0
"185",4,200,-1.5,50,47362000
"186",4,200,-1,50,47362000
"187",4,200,-0.5,50,47362000
"188",4,200,0,50,0
"189",4,200,0.5,50,0
"190",4,200,1,50,0
"191",4,200,1.5,50,0
"192",4,200,2,50,0
"193",4,200,-1.5,40,47368000
"194",4,200,-1,40,47368000
"195",4,200,-0.5,40,47368000
"196",4,200,0,40,7476000
"197",4,200,0.5,40,0
"198",4,200,1,40,0
"199",4,200,1.5,40,0
"200",4,200,2,40,0
"201",4,100,-1.5,80,47270000
"202",4,100,-1,80,47270000
"203",4,100,-0.5,80,47270000
"204",4,100,0,80,0
"205",4,100,0.5,80,0
"206",4,100,1,80,0
"207",4,100,1.5,80,0
"208",4,100,2,80,0
"209",4,100,-1.5,75,47298000
"210",4,100,-1,75,47298000
"211",4,100,-0.5,75,47298000
"212",4,100,0,75,0
"213",4,100,0.5,75,0
"214",4,100,1,75,0
"215",4,100,1.5,75,0
"216",4,100,2,75,0
"217",4,100,-1.5,50,47362000
"218",4,100,-1,50,47362000
"219",4,100,-0.5,50,47362000
"220",4,100,0,50,0
"221",4,100,0.5,50,0
"222",4,100,1,50,0
"223",4,100,1.5,50,0
"224",4,100,2,50,0
"225",4,100,-1.5,25,47238000
"226",4,100,-1,25,47238000
"227",4,100,-0.5,25,47238000
"228",4,100,0,25,7476000
"229",4,100,0.5,25,0
"230",4,100,1,25,0
"231",4,100,1.5,25,0
"232",4,100,2,25,0
"233",4,100,-1.5,20,47254000
"234",4,100,-1,20,47254000
"235",4,100,-0.5,20,47254000
"236",4,100,0,20,15976000
"237",4,100,0.5,20,0
"238",4,100,1,20,0
"239",4,100,1.5,20,0
"240",4,100,2,20,0
"241",4,50,-1.5,40,47386000
"242",4,50,-1,40,47386000
"243",4,50,-0.5,40,47386000
"244",4,50,0,40,14808000
"245",4,50,0.5,40,0
"246",4,50,1,40,0
"247",4,50,1.5,40,0
"248",4,50,2,40,0
"249",4,50,-1.5,37,47392000
"250",4,50,-1,37,47392000
"251",4,50,-0.5,37,47392000
"252",4,50,0,37,14808000
"253",4,50,0.5,37,0
"254",4,50,1,37,0
"255",4,50,1.5,37,0
"256",4,50,2,37,0
"257",4,50,-1.5,25,47326000
"258",4,50,-1,25,47326000
"259",4,50,-0.5,25,47326000
"260",4,50,0,25,14808000
"261",4,50,0.5,25,0
"262",4,50,1,25,0
"263",4,50,1.5,25,0
"264",4,50,2,25,0
"265",4,50,-1.5,12,47228000
"266",4,50,-1,12,47228000
"267",4,50,-0.5,12,47228000
"268",4,50,0,12,30782000
"269",4,50,0.5,12,0
"270",4,50,1,12,0
"271",4,50,1.5,12,0
"272",4,50,2,12,0
"273",4,50,-1.5,10,46750000
"274",4,50,-1,10,46750000
"275",4,50,-0.5,10,46750000
"276",4,50,0,10,30672000
"277",4,50,0.5,10,0
"278",4,50,1,10,0
"279",4,50,1.5,10,0
"280",4,50,2,10,0
"281",4,20,-1.5,16,47228000
"282",4,20,-1,16,47228000
"283",4,20,-0.5,16,47228000
"284",4,20,0,16,30782000
"285",4,20,0.5,16,0
"286",4,20,1,16,0
"287",4,20,1.5,16,0
"288",4,20,2,16,0
"289",4,20,-1.5,15,47228000
"290",4,20,-1,15,47228000
"291",4,20,-0.5,15,47228000
"292",4,20,0,15,30782000
"293",4,20,0.5,15,0
"294",4,20,1,15,0
"295",4,20,1.5,15,0
"296",4,20,2,15,0
"297",4,20,-1.5,10,46750000
"298",4,20,-1,10,46750000
"299",4,20,-0.5,10,46750000
"300",4,20,0,10,30672000
"301",4,20,0.5,10,0
